"id","restaurant_id","food-type_id"
254,119,19
255,120,3
256,120,1
257,120,19
258,121,13
259,121,6
260,122,3
261,122,11
262,122,13
263,123,6
264,123,11
265,124,6
266,124,16
267,125,13
268,125,11
269,125,6
270,125,3
271,126,1
272,126,18
273,126,3
274,126,20
275,127,11
276,127,20
277,128,3
278,128,19
279,128,1
280,129,18
720,339,13
721,339,6
722,339,3
847,400,19
848,400,4
980,457,3
981,457,11
1018,479,19
1031,485,17
1137,385,13
1138,385,3
1139,385,6
1388,549,1
1389,549,11
1390,549,6
1692,351,4
1693,351,3
1705,476,3
1706,476,19
1843,316,6
1844,316,3
1845,316,19
1846,316,11
1847,316,13
1848,316,17
1850,366,13
1851,366,3
1852,341,13
1853,341,3
1854,419,11
1855,419,3
1856,504,6
1857,504,13
1858,504,7
1862,382,18
1863,402,3
1864,402,13
1865,410,13
1866,410,6
1867,410,3
1868,410,19
1869,448,13
1870,448,6
1871,448,3
1872,369,11
1873,369,6
1874,369,3
1875,404,1
1876,404,19
1877,404,3
1878,436,19
1879,436,1
1880,436,3
1881,436,20
1882,383,10
1883,383,20
1884,464,1
1885,464,3
1886,464,19
1887,472,15
1888,472,20
1889,356,3
1890,356,18
1891,444,10
1892,508,17
1893,469,6
1894,469,11
1895,469,17
1896,548,16
1901,405,1
1902,405,6
1903,398,13
1904,398,3
1905,398,6
1906,352,6
1907,352,3
1908,352,13
1909,425,6
1910,425,16
1911,589,13
1912,589,6
1913,488,19
1914,582,6
1915,582,13
1916,582,3
1917,495,6
1918,495,13
1919,495,3
1920,563,5
1921,477,19
1922,477,20
1923,477,3
1924,363,1
1925,363,19
1926,363,3
1927,471,19
1929,321,1
1930,321,19
1931,357,19
1932,357,20
1933,357,5
1934,499,6
1935,499,11
1936,499,13
1938,360,17
1942,370,11
1943,370,3
1944,370,6
1945,322,3
1946,322,20
1947,456,17
1948,542,1
1951,561,1
1952,552,6
1953,552,11
1954,424,6
1955,424,11
1960,447,19
1961,491,5
1964,401,19
1965,401,3
1966,585,19
1967,446,13
1968,446,6
1969,446,15
1970,446,3
1971,428,11
1972,428,20
1973,377,13
1974,377,3
1975,377,6
1977,579,1
1978,442,1
1979,501,2
1980,501,1
1981,501,19
1982,567,17
1983,330,17
1984,502,21
1985,340,1
1986,393,2
1987,393,19
1988,393,1
1989,391,1
1990,391,19
1993,315,1
1994,315,3
1995,315,20
1997,365,11
1998,365,3
2001,397,2
2002,397,19
2003,397,3
2004,346,3
2005,346,1
2006,346,18
2007,437,4
2008,376,3
2009,376,11
2010,568,18
2011,545,3
2012,580,1
2013,580,21
2014,580,8
2021,564,18
2022,439,19
2023,439,3
2025,475,10
2026,359,7
2027,359,6
2028,411,11
2029,411,3
2030,411,6
2031,411,13
2032,373,18
2033,546,20
2034,334,18
2035,466,18
2036,361,18
2037,314,18
2043,384,3
2044,384,5
2045,371,20
2046,371,19
2047,371,3
2048,517,17
2050,409,19
2051,329,19
2053,416,6
2054,416,13
2062,572,19
2063,578,1
2064,578,16
2065,578,5
2066,578,8
2067,578,18
2068,578,6
2069,578,20
2070,578,13
2071,578,19
2073,355,1
2074,355,19
2075,494,19
2076,494,1
2077,412,19
2078,511,1
2079,347,18
2083,540,19
2084,540,1
2085,395,10
2086,390,13
2087,390,6
2088,390,3
2089,534,19
2090,534,1
2091,539,19
2092,539,1
2093,432,6
2094,432,11
2095,432,17
2096,432,3
2097,432,13
2098,418,3
2099,418,6
2100,418,11
2101,418,20
2102,422,13
2103,422,6
2104,587,1
2105,449,13
2106,449,3
2107,449,6
2108,332,13
2109,332,3
2110,560,13
2111,560,6
2112,367,13
2113,367,6
2114,367,3
2115,435,13
2116,435,6
2117,435,3
2118,435,1
2119,482,13
2120,482,6
2121,392,13
2122,392,6
2123,325,13
2124,325,6
2125,325,11
2126,569,13
2127,569,3
2128,433,13
2129,433,6
2133,566,17
2134,348,13
2135,348,3
2136,438,12
2137,438,3
2138,438,8
2139,526,5
2140,350,19
2141,350,3
2142,350,6
2143,350,20
2144,335,13
2145,335,6
2146,335,3
2147,553,16
2148,553,6
2151,458,9
2152,458,20
2153,474,19
2154,474,20
2155,443,13
2156,443,6
2157,443,3
2161,440,1
2164,556,19
2165,324,19
2166,324,1
2167,555,19
2168,459,19
2170,470,3
2171,470,20
2172,333,19
2173,333,3
2174,378,1
2175,378,19
2176,498,1
2177,498,19
2178,498,3
2179,480,19
2180,480,3
2181,480,6
2182,318,18
2183,344,1
2184,406,14
2185,406,3
2187,379,1
2188,379,19
2189,375,4
2190,375,20
2191,375,3
2195,426,13
2196,426,11
2197,426,6
2198,426,3
2199,408,1
2200,408,19
2201,551,6
2202,551,4
2203,481,11
2204,481,19
2205,481,3
2206,483,1
2207,483,19
2208,487,19
2209,487,1
2210,487,20
2213,518,17
2214,467,5
2215,388,19
2216,331,5
2217,512,5
2218,403,8
2219,434,19
2220,434,1
2221,434,20
2222,509,1
2224,576,1
2225,576,19
2227,323,1
2228,323,18
2229,323,19
2230,386,19
2231,386,3
2232,493,1
2233,493,3
2234,510,6
2235,510,1
2236,429,3
2237,429,19
2238,429,1
2239,389,19
2240,389,3
2244,450,3
2245,450,13
2246,374,5
2247,588,19
2248,588,3
2249,407,3
2250,407,19
2253,520,4
2254,520,19
2255,520,1
2256,520,20
2261,583,1
2262,583,19
2263,583,3
2265,430,18
2266,417,14
2268,431,1
2269,431,19
2270,381,19
2271,381,8
2272,364,19
2273,353,3
2274,353,19
2275,353,1
2276,455,16
2277,455,6
2278,562,15
2279,581,15
2280,570,21
2281,492,19
2282,492,3
2283,492,13
2284,492,17
2285,559,1
2290,349,6
2291,338,16
2292,338,6
2293,320,17
2299,489,19
2300,489,1
2302,396,10
2303,460,10
2309,454,1
2310,454,19
2311,354,1
2312,354,19
2313,336,11
2314,336,3
2315,336,13
2316,312,10
2317,343,1
2318,343,19
2319,490,19
2320,451,1
2321,575,1
2325,399,1
2326,399,19
2327,423,3
2328,423,11
2329,423,13
2330,342,19
2331,486,16
2332,486,6
2333,394,11
2334,394,3
2335,387,19
2336,387,3
2339,558,2
2340,558,19
2341,550,19
2342,362,20
2343,362,19
2344,362,3
2345,326,19
2346,326,1
2347,461,3
2348,461,11
2349,461,19
2351,478,1
2352,478,19
2353,313,18
2354,484,11
2355,484,3
2356,547,3
2357,372,11
2358,372,3
2359,473,8
2360,445,18
2361,590,1
2362,590,18
2366,591,20
2373,592,3
2374,592,6
2375,592,11
2376,592,17
2383,593,6
2384,593,13
2385,593,1
2388,594,6
2389,594,1
2394,595,19
2396,462,1
2397,462,19
2404,600,19
2408,328,4
2409,328,3
2410,328,19
2411,599,19
2412,599,4
2414,515,1
2415,515,8
2416,515,3
2417,514,1
2418,514,20
2419,513,1
2420,513,19
2421,544,1
2422,523,1
2423,523,19
2424,535,19
2425,529,5
2426,530,1
2427,538,19
2428,522,1
2429,522,19
2430,541,1
2431,528,1
2432,537,19
2433,533,19
2434,531,19
2435,536,19
2436,532,2
2437,532,19
2438,524,1
2439,521,1
2440,543,19
2441,525,5
2442,519,5
2444,507,1
2445,507,19
2446,527,1
2453,596,1
2454,596,19
2456,586,19
2457,586,3
2458,586,23
2460,602,19
2461,602,23
2464,601,19
2465,601,23
2466,603,1
2467,604,13
2468,605,13
2469,606,19
2470,506,19
2471,503,19
2476,505,1
2477,505,19
2478,500,1
2479,500,19
2480,557,2
2481,557,19
2485,554,2
2486,554,3
2487,554,19
2488,577,19
2489,463,19
2491,574,5
2492,420,19
2495,497,1
2496,497,19
2497,496,1
2498,496,19
2499,441,5
2500,571,19
2502,573,19
2503,452,19
2504,452,1
2505,607,19
2506,319,3
2507,319,1
2508,421,3
2509,421,1
2510,421,19
2511,345,19
2519,468,20
2520,516,1
2521,608,4
2522,608,19
2523,608,1
2524,608,20
2525,413,1
2526,413,19
2527,413,24
2529,565,20
2546,415,6
2547,415,19
2548,415,13
2549,415,16
2550,358,1
2551,358,3
2552,358,20
2553,337,1
2554,337,19
2555,337,3
2556,380,1
2557,368,19
2558,368,25
2559,465,19
2560,465,25
2561,414,19
2562,414,3
2563,414,8
2564,414,13
2565,414,17
2566,414,25
2567,327,1
2568,327,3
2569,327,20
2570,327,25
2571,584,19
2572,584,3
2573,584,25
2574,453,19
2575,453,3
2576,453,20
2577,453,25
2578,427,1
2579,427,25
